WT_AGO1.1	WT_AGO1.2	deltaN.1	deltaN.2	baseMean	log2FC	lfcSE	stat	p.value	q.value	q.value_BH	ranking
transcript:AT1G04857.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04863.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04873.1	60	81	75	60	68.2198950799562	-0.0670385852266467	0.433190180141906	-0.154755551487077	0.877014033726644	0.999461769492062	1	1395
transcript:AT1G04877.1	1	5	10	6	5.4033639013815	1.46327730113563	1.45911158870961	1.00285496493774	0.315930844252295	1	1	269
transcript:AT1G04883.1	54	52	34	58	48.8404665336727	-0.250364894997499	0.504178983260627	-0.496579396027852	0.619485685709888	0.999461769492062	1	761
transcript:AT1G04887.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04893.1	8	14	15	16	12.9826481997113	0.491851342946629	0.906667438269594	0.542482637167763	0.587486065354678	0.999461769492062	1	636
transcript:AT1G04913.1	16	14	17	14	15.2046532780589	0.0207357262255612	0.841165643767069	0.0246511806315561	0.98033319544497	0.999461769492062	1	1582
transcript:AT1G04917.1	28	34	34	47	35.1105045509586	0.357768238961543	0.567888061210306	0.629997817173781	0.528696012381216	0.999461769492062	1	542
transcript:AT1G04923.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04927.1	30	44	29	46	36.4213075753203	-0.00367553668163174	0.566576420202592	-0.00648727435624212	0.994823940254999	0.999461769492062	1	1631
transcript:AT1G04933.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04933.2	28	29	9	17	20.5232476231831	-1.17619911090846	0.748882164145244	-1.57060638805698	0.116274105233994	0.999461769492062	1	78
transcript:AT1G04937.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04943.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04947.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04953.1	66	36	54	49	51.513583286486	-0.0389659738723206	0.525296224241464	-0.074179048076327	0.940867917125886	0.999461769492062	1	1501
transcript:AT1G04957.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04963.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04967.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04973.1	39	64	41	60	49.8115509171499	-0.0433034622803993	0.497066960367996	-0.0871179654514559	0.930577745312127	0.999461769492062	1	1481
transcript:AT1G04977.1	343	387	245	291	312.826824377485	-0.472357447317033	0.244616693937338	-1.93101067516689	0.0534817322764496	0.999461769492062	1	40
transcript:AT1G04983.1	0	1	0	0	0.229705086155938	-1.43360219696878	4.99148991296172	-0.287209274578728	0.773952085268391	1	1	1141
transcript:AT1G04987.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G04997.1	0	0	5	0	1.29616745754229	3.8137391890182	3.44854926370003	1.10589668216784	0.268771241026323	1	1	211
transcript:AT1G05003.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05007.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05013.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G13448.1	18	35	42	37	32.3855323628171	0.5844916153929	0.606944447838991	0.963006775124092	0.335544123257703	0.999461769492062	1	291
transcript:AT1G05017.1	9	14	28	19	17.31939772391	1.03775312833327	0.81132158414233	1.27908975752236	0.200865450030365	0.999461769492062	1	147
transcript:AT1G05023.1	53	33	43	31	40.2761418182697	-0.256281966385941	0.573941488330507	-0.446529779771488	0.655214606210397	0.999461769492062	1	869
transcript:AT1G05027.1	2	0	0	0	0.541849427320739	-2.57641244038388	4.88481558899932	-0.527432897607435	0.597893003264969	1	1	676.5
transcript:AT1G05033.1	54	49	53	77	57.4834539464123	0.292111411878667	0.465365505624479	0.627703188887366	0.530198395962121	0.999461769492062	1	548
transcript:AT1G05037.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05043.1	19	9	11	13	13.0815712322334	-0.289342494120915	0.931570351709442	-0.310596503624195	0.756107385523186	0.999461769492062	1	1067
transcript:AT1G05047.1	175	183	164	145	165.591970276029	-0.232742892304911	0.307659296379633	-0.756495561953443	0.449352132279984	0.999461769492062	1	441
transcript:AT1G05053.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05067.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05073.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05077.1	11	27	9	8	13.3707490558597	-1.14072705018734	0.927275947870378	-1.23019156574392	0.218625377518222	0.999461769492062	1	166
transcript:AT1G05083.1	15	16	20	24	18.4901372809972	0.476043702843834	0.761972228923986	0.624752037900484	0.532133813672519	0.999461769492062	1	549
transcript:AT1G05093.1	2	2	2	4	2.44744581055411	0.537067182444923	1.99779175413616	0.268830413046303	0.788060188346253	1	1	1232
transcript:AT1G05097.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05103.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05107.1	2	0	0	3	1.23763884824917	0.395235603028009	3.17466874649969	0.124496643457301	0.900922057838916	1	1	1429
transcript:AT1G05113.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05117.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05123.1	28	46	32	49	37.8123582157653	0.113676517248446	0.560380705202517	0.202855873146746	0.839247685247013	0.999461769492062	1	1333
transcript:AT1G05127.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05133.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G15002.1	252	283	331	286	285.417777709021	0.19024533914873	0.262584780519537	0.72451015162539	0.468752597093397	0.999461769492062	1	461
transcript:AT1G05143.1	21	33	38	28	29.6145941026672	0.294723338053739	0.626938613620132	0.47009919576004	0.638284148741981	0.999461769492062	1	846
transcript:AT1G05147.1	199	178	615	150	289.019591678294	1.03460477039989	0.997810508089375	1.03687499982433	0.299794116479081	0.999461769492062	1	244
transcript:AT1G05153.1	30	32	30	32	30.6770627352915	-0.0255274228438397	0.600125692142736	-0.0425367938384617	0.966070781040395	0.999461769492062	1	1552
transcript:AT1G15175.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G15175.3	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G15175.2	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05163.1	49	20	41	37	37.079388702441	0.111847355199126	0.623929047442493	0.179262939684556	0.85773124528929	0.999461769492062	1	1362
transcript:AT1G05173.1	0	0	0	0	0	NA	NA	NA	1	1	1	2766
transcript:AT1G05177.1	2	0	0	0	0.541849427320739	-2.57641244038388	4.88481558899932	-0.527432897607435	0.597893003264969	1	1	676.5
transcript:AT1G05183.1	363	346	195	154	264.091351987144	-1.04455708313937	0.284316330409974	-3.67392573487831	0.000238852181138674	0.0348812922447069	0.15393007123688	5
