Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT1G06093.1	0	0	0	0
transcript:AT1G06097.1	0	0	0	0
transcript:AT1G06103.1	2	6	4	4
transcript:AT1G27921.1	0	0	0	0
transcript:AT1G27921.2	0	0	0	0
transcript:AT1G27921.4	0	0	0	0
transcript:AT1G27921.3	0	0	0	0
transcript:AT1G06113.1	8	9	1	0
transcript:AT1G06117.1	0	2	4	0
transcript:AT1G06123.1	0	0	0	0
transcript:AT1G06127.1	0	0	0	0
transcript:AT1G06133.1	0	0	0	0
transcript:AT1G06147.1	1	0	0	0
transcript:AT1G06153.1	43	71	18	31
transcript:AT1G06157.1	0	0	0	0
transcript:AT1G06163.1	0	0	0	0
transcript:AT1G28685.1	1046	1084	295	374
transcript:AT1G06173.1	0	0	4	0
transcript:AT1G06177.1	0	0	0	0
transcript:AT1G28715.1	90	92	76	121
transcript:AT1G06187.1	0	0	0	0
transcript:AT1G06197.1	0	0	0	0
transcript:AT1G06203.1	0	0	0	0
transcript:AT1G06207.1	108	119	43	63
transcript:AT1G06213.1	12	39	21	8
transcript:AT1G06217.1	3	0	0	0
transcript:AT1G29357.2	0	0	0	0
transcript:AT1G29357.1	0	0	0	0
transcript:AT1G29357.3	0	0	0	0
transcript:AT1G29357.4	0	0	0	0
transcript:AT1G06227.1	102	79	86	104
transcript:AT1G06257.1	0	0	4	0
transcript:AT1G06287.1	1	4	1	7
transcript:AT1G06293.1	0	0	0	0
transcript:AT1G29785.1	8	15	2	12
transcript:AT1G29785.2	0	0	0	0
transcript:AT1G29785.3	0	0	0	0
transcript:AT1G06297.1	0	0	0	0
transcript:AT1G06303.1	0	0	0	0
transcript:AT1G06307.1	0	0	0	0
transcript:AT1G30282.1	29	18	50	40
transcript:AT1G30282.2	0	0	0	0
transcript:AT1G06313.1	0	0	0	0
transcript:AT1G06317.1	0	0	0	0
transcript:AT1G06323.1	0	0	0	0
transcript:AT1G06327.1	0	0	0	0
transcript:AT1G06333.1	0	0	0	0
transcript:AT1G06337.1	6	7	4	8
transcript:AT1G06343.1	0	0	0	0
transcript:AT1G06347.1	0	0	0	0
transcript:AT1G06353.1	0	0	0	0
transcript:AT1G06357.1	0	0	0	0
transcript:AT1G06363.1	0	0	0	0
transcript:AT1G06373.1	0	0	0	0
transcript:AT1G06377.1	0	0	0	0
transcript:AT1G06383.1	0	0	0	0
transcript:AT1G06387.1	0	0	0	0
transcript:AT1G06393.1	0	0	0	0
transcript:AT1G06403.1	0	0	0	0
transcript:AT1G06407.1	2	0	0	0
transcript:AT1G06413.1	0	0	0	0
transcript:AT1G06417.1	0	0	0	0
transcript:AT1G06423.1	23	32	11	27
transcript:AT1G06427.1	0	0	0	0
transcript:AT1G06433.1	0	0	0	0
transcript:AT1G06437.1	0	0	0	0
transcript:AT1G31485.1	40	26	47	37
transcript:AT1G06443.1	0	0	0	0
transcript:AT1G06447.1	0	0	0	0
transcript:AT1G06473.1	29	32	42	52
transcript:AT1G06483.1	2	2	0	0
transcript:AT1G06487.1	1	0	1	2
transcript:AT1G06493.1	0	0	0	0
transcript:AT1G06497.1	0	0	0	0
transcript:AT1G06507.1	0	0	0	0
transcript:AT1G06513.1	0	0	0	0
transcript:AT1G06517.1	0	0	0	0
transcript:AT1G06527.1	0	0	0	0
transcript:AT1G06533.1	0	0	0	0
transcript:AT1G06537.1	9	17	2	7
transcript:AT1G06543.1	0	0	2	0
transcript:AT1G06557.1	0	0	0	0
transcript:AT1G06567.1	0	0	1	0
transcript:AT1G06573.1	537	537	810	860
transcript:AT1G06577.1	4	0	8	8
transcript:AT1G06583.1	0	0	0	0
transcript:AT1G06587.1	0	0	0	0
transcript:AT1G06593.1	0	0	1	1
transcript:AT1G06603.1	0	0	0	0
transcript:AT1G06607.1	0	0	0	0
transcript:AT1G06613.1	21	22	10	11
transcript:AT1G06617.1	0	0	0	0
transcript:AT1G06627.1	0	0	0	0
transcript:AT1G06633.1	0	0	0	0
transcript:AT1G06637.1	0	0	0	0
transcript:AT1G06657.1	0	0	0	0
transcript:AT1G06663.1	0	0	0	0
transcript:AT1G33415.1	0	0	0	0
transcript:AT1G33415.2	0	0	0	0
transcript:AT1G33415.3	0	0	0	0
transcript:AT1G33415.4	0	0	0	0
transcript:AT1G33415.5	0	0	0	0
transcript:AT1G06683.1	2	3	1	3
transcript:AT1G06687.1	3	6	1	4
transcript:AT1G06693.1	4	0	0	0
transcript:AT1G06697.1	0	0	0	0
transcript:AT1G06703.1	0	0	2	0
transcript:AT1G06707.1	0	0	0	0
transcript:AT1G06713.1	0	0	0	0
transcript:AT1G06717.1	220	237	228	311
transcript:AT1G06723.1	0	0	0	0
transcript:AT1G06727.1	0	0	0	0
transcript:AT1G06733.1	2	1	0	0
transcript:AT1G06737.1	1	1	1	0
transcript:AT1G06743.1	0	2	1	2
transcript:AT1G06747.1	0	0	0	0
transcript:AT1G06753.1	58	39	29	53
transcript:AT1G06757.1	2	4	3	1
transcript:AT1G06773.1	2	0	1	0
transcript:AT1G06777.1	0	0	0	0
transcript:AT1G06783.1	0	0	0	0
transcript:AT1G06787.1	75	81	62	113
transcript:AT1G34844.1	0	0	0	0
transcript:AT1G34844.2	0	0	0	0
transcript:AT1G34844.3	0	0	0	0
transcript:AT1G06817.1	0	0	0	0
transcript:AT1G06823.1	0	0	0	0
transcript:AT1G06827.1	0	0	0	0
transcript:AT1G06837.1	8	6	6	14
transcript:AT1G06853.1	0	0	0	0
transcript:AT1G06857.1	0	0	0	0
transcript:AT1G06863.1	0	0	0	0
transcript:AT1G06867.1	0	2	3	0
transcript:AT1G06883.1	12	8	0	0
transcript:AT1G06897.1	0	0	0	0
transcript:AT1G06907.1	1	0	0	0
transcript:AT1G35545.1	1	1	0	4
transcript:AT1G06913.1	0	0	0	0
transcript:AT1G06917.1	0	0	0	0
transcript:AT1G06927.1	0	0	0	0
transcript:AT1G06933.1	0	6	0	4
transcript:AT1G06937.1	1	1	0	0
transcript:AT1G06943.1	0	0	0	0
transcript:AT1G06947.1	0	0	0	0
transcript:AT1G06953.1	0	0	0	0
transcript:AT1G06957.1	0	3	4	0
transcript:AT1G06963.1	2	0	0	0
transcript:AT1G06967.1	0	0	0	0
transcript:AT1G06973.1	0	0	0	0
transcript:AT1G06977.1	45	57	39	50
transcript:AT1G06983.1	17	22	1	2
transcript:AT1G06987.1	0	0	1	0
transcript:AT1G06993.1	0	0	0	3
transcript:AT1G06997.1	0	0	0	0
transcript:AT1G36992.1	120	102	168	140
transcript:AT1G07003.1	0	0	0	0
transcript:AT1G07007.1	0	0	0	0
transcript:AT1G07013.1	0	0	0	0
transcript:AT1G07017.1	7	12	11	12
transcript:AT1G07023.1	0	2	0	0
transcript:AT1G07027.1	1	1	0	0
transcript:AT1G07117.1	0	0	0	0
transcript:AT1G07123.1	0	0	0	0
transcript:AT1G07127.1	0	0	0	0
transcript:AT1G07133.1	0	0	0	0
transcript:AT1G07143.1	0	0	2	0
transcript:AT1G07147.1	0	0	0	1
transcript:AT1G07157.1	0	0	0	0
transcript:AT1G07163.1	0	0	0	0
transcript:AT1G07167.1	8	10	8	16
transcript:AT1G07173.1	6	6	0	6
transcript:AT1G07177.1	0	0	0	0
transcript:AT1G07183.1	0	0	0	0
transcript:AT1G07187.1	75	65	52	50
transcript:AT1G07193.1	0	0	0	0
transcript:AT1G07197.1	0	0	0	0
transcript:AT1G07233.1	0	0	0	0
transcript:AT1G07237.1	0	0	0	0
transcript:AT1G44125.6	0	0	0	0
transcript:AT1G44125.3	0	0	0	0
transcript:AT1G44125.4	0	0	0	0
transcript:AT1G44125.2	0	0	0	0
transcript:AT1G44125.5	0	0	0	0
transcript:AT1G44125.1	0	0	0	0
transcript:AT1G44125.7	0	0	0	0
transcript:AT1G07247.1	0	0	0	0
transcript:AT1G07253.1	0	0	0	0
transcript:AT1G07263.1	0	0	0	0
transcript:AT1G07267.1	0	0	0	0
transcript:AT1G07273.1	0	0	0	0
transcript:AT1G07277.1	0	0	0	0
transcript:AT1G07287.1	0	1	0	0
transcript:AT1G07293.1	0	0	0	0
transcript:AT1G07297.1	0	0	0	0
transcript:AT1G07303.1	0	0	0	0
transcript:AT1G07313.1	1	4	7	3
transcript:AT1G07317.1	0	0	0	0
transcript:AT1G07323.1	145	141	205	210
transcript:AT1G07327.1	0	0	0	0
transcript:AT1G07333.1	0	0	0	0
transcript:AT1G07337.1	0	0	0	0
transcript:AT1G07343.1	0	0	0	0
transcript:AT1G07347.1	0	0	0	0
transcript:AT1G07353.1	0	0	0	0
transcript:AT1G07367.1	0	0	0	0
transcript:AT1G07373.1	4	3	2	2
transcript:AT1G07383.1	0	0	0	0
transcript:AT1G07397.1	0	0	0	2
transcript:AT1G07407.1	2	5	5	4
transcript:AT1G07413.1	0	1	0	0
transcript:AT1G07417.1	0	0	0	0
transcript:AT1G07423.1	1	0	0	1
transcript:AT1G07433.1	0	0	0	0
transcript:AT1G07437.1	0	0	0	0
transcript:AT1G07447.1	0	0	0	0
transcript:AT1G07453.1	0	0	0	0
transcript:AT1G07457.1	2	0	0	0
transcript:AT1G07463.1	0	0	0	0
transcript:AT1G07467.1	0	0	0	0
transcript:AT1G07477.1	28	34	13	21
transcript:AT1G07483.1	2	0	0	0
transcript:AT1G48315.1	0	0	0	0
transcript:AT1G48315.2	0	0	0	0
transcript:AT1G48315.3	0	0	0	0
transcript:AT1G48315.4	0	0	0	0
transcript:AT1G48315.5	0	0	0	0
transcript:AT1G07493.1	0	0	0	0
transcript:AT1G07497.1	0	0	0	0
transcript:AT1G48698.1	0	0	0	0
transcript:AT1G48698.2	0	0	0	0
transcript:AT1G48698.3	0	0	0	4
transcript:AT1G07503.1	0	0	0	0
transcript:AT1G07513.1	31	33	18	26
transcript:AT1G07517.1	20	12	18	31
transcript:AT1G07523.1	0	0	0	0
transcript:AT1G07527.1	0	1	0	0
transcript:AT1G07533.1	0	2	0	0
transcript:AT1G07547.1	35	41	16	32
transcript:AT1G07553.1	0	0	0	0
transcript:AT1G07557.1	0	0	0	0
transcript:AT1G07563.1	7	12	25	16
transcript:AT1G07567.1	53	56	55	53
transcript:AT1G07573.1	0	0	0	0
transcript:AT1G07583.1	0	0	0	0
transcript:AT1G07587.1	39	34	14	26
transcript:AT1G07597.1	0	0	0	0
transcript:AT1G49938.2	0	4	0	4
transcript:AT1G49938.1	0	0	0	0
transcript:AT1G07603.1	189	236	250	252
transcript:AT1G07607.1	379	437	366	375
transcript:AT1G07617.1	0	0	0	0
transcript:AT1G07623.1	0	0	0	0
transcript:AT1G07627.1	0	0	0	0
transcript:AT1G07637.1	19	14	14	20
transcript:AT1G07653.1	39	35	32	22
transcript:AT1G07657.1	0	0	0	0
transcript:AT1G07663.1	37	44	22	59
transcript:AT1G07667.1	73	79	40	56
transcript:AT1G07673.1	0	0	0	0
