Geneid	ago1-1	ago1-2	deltaN-1	deltaN-2
transcript:AT5G39535.1	0	0	0	0
transcript:AT5G39895.1	0	0	0	0
transcript:AT5G40545.1	0	0	0	0
transcript:AT5G40945.1	0	0	0	0
transcript:AT5G41265.1	0	0	0	0
transcript:AT5G41605.1	0	0	0	0
transcript:AT5G41675.1	0	0	0	0
transcript:AT5G43455.1	0	0	2	1
transcript:AT5G43535.1	0	0	0	0
transcript:AT5G44283.1	0	0	0	0
transcript:AT5G44375.1	0	0	0	0
transcript:AT5G44705.1	0	0	0	0
transcript:AT5G45715.1	0	0	0	0
transcript:AT5G45745.1	0	0	0	0
transcript:AT5G46105.1	0	3	0	0
transcript:AT5G46325.1	0	0	0	0
transcript:AT5G46595.1	0	0	0	0
transcript:AT5G48465.1	0	0	0	0
transcript:AT5G48675.1	0	0	0	0
transcript:AT5G48835.1	0	0	0	0
transcript:AT5G49435.1	0	0	0	0
transcript:AT5G50805.1	0	0	0	0
transcript:AT5G50995.1	0	0	0	0
transcript:AT5G51055.1	0	0	0	0
transcript:AT5G52355.1	0	0	0	0
transcript:AT5G52495.1	0	0	0	0
transcript:AT5G52815.1	0	0	0	0
transcript:AT5G53487.1	0	0	0	0
transcript:AT5G54365.1	0	0	0	0
transcript:AT5G54375.1	0	0	0	0
transcript:AT5G54865.1	0	0	0	0
transcript:AT5G55045.1	0	0	0	0
transcript:AT5G55055.1	0	0	0	0
transcript:AT5G55505.1	0	0	0	0
transcript:AT5G56365.1	0	0	0	0
transcript:AT5G56745.1	1	0	0	0
transcript:AT5G56975.1	0	0	2	0
transcript:AT5G57885.1	0	0	0	0
transcript:AT5G58495.1	0	0	0	0
transcript:AT5G59055.1	0	0	0	1
transcript:AT5G59385.1	0	0	1	1
transcript:AT5G59395.1	0	0	0	0
transcript:AT5G59945.1	0	0	0	0
transcript:AT5G60285.1	10	2	6	2
transcript:AT5G60963.1	0	0	0	0
transcript:AT5G60966.1	0	0	0	0
transcript:AT5G61345.1	0	0	0	0
transcript:AT5G61445.1	0	0	0	0
transcript:AT5G61835.1	0	0	0	0
transcript:AT5G63145.1	0	0	0	0
transcript:AT5G64505.1	0	0	0	0
transcript:AT5G64735.1	0	0	0	0
transcript:AT5G64855.1	0	0	0	0
transcript:AT5G65015.1	0	2	0	0
transcript:AT5G65305.1	0	0	0	0
transcript:AT5G65445.1	0	2	0	0
transcript:AT5G65535.1	0	0	0	0
transcript:AT5G65615.1	0	0	0	0
transcript:AT5G66535.1	0	0	0	0
transcript:AT5G66568.1	0	0	0	0
transcript:AT5G66755.1	0	0	0	0
transcript:AT5G66817.1	0	0	0	0
transcript:AT5G67455.1	4	1	0	1
transcript:ATMG00100.1	2	2	1	1
transcript:ATMG09450.1	39	25	26	34
transcript:ATMG00190.1	1	0	1	0
transcript:ATMG00230.1	2	0	0	0
transcript:ATMG00250.1	2	5	0	2
transcript:ATMG00330.1	7	3	4	5
transcript:ATMG00340.1	2	1	1	1
transcript:ATMG00350.1	1	4	0	1
transcript:ATMG00360.1	3	2	0	0
transcript:ATMG00380.1	1	4	0	1
transcript:ATMG00390.1	0	0	1	7
transcript:ATMG00420.1	0	0	0	0
transcript:ATMG00460.1	0	0	0	3
transcript:ATMG09730.1	24	20	17	19
transcript:ATMG09740.1	0	0	5	1
transcript:ATMG00700.1	0	0	0	0
transcript:ATMG00780.1	5	2	4	10
transcript:ATMG00790.1	0	0	0	0
transcript:ATMG00800.1	0	0	0	0
transcript:ATMG00930.1	0	0	0	1
transcript:ATMG00950.1	2	0	0	0
transcript:ATMG01070.1	2	0	0	0
transcript:ATMG01160.1	2	0	0	1
transcript:ATMG09950.1	8	6	2	2
transcript:ATMG01340.1	0	0	0	0
transcript:ATMG09960.1	1	0	0	2
transcript:ATMG09980.1	16	20	8	5
transcript:ATCG00010.1	556	766	520	398
transcript:ATCG00030.1	2231	2326	3298	2751
transcript:ATCG00060.1	1	0	3	0
transcript:ATCG00090.1	127	141	108	95
transcript:ATCG00100.1	130	68	153	94
transcript:ATCG00110.1	12	4	10	3
transcript:ATCG00200.1	3	6	2	2
